Time,Temperature (°C),Humidity (%),Status
15:26:26,29.9,47.0,FAILURE
15:26:27,29.9,47.0,FAILURE
15:26:30,29.9,47.0,FAILURE
15:26:31,29.9,47.0,FAILURE
15:26:34,29.9,47.0,FAILURE
15:26:35,29.9,47.0,FAILURE
15:26:38,29.9,47.0,FAILURE
15:26:39,29.9,47.0,FAILURE
15:26:42,29.9,47.0,FAILURE
15:26:43,29.9,47.0,FAILURE
15:26:46,29.9,47.0,FAILURE
15:26:47,29.9,47.0,FAILURE
15:26:50,29.9,47.0,FAILURE
15:26:52,29.9,47.0,FAILURE
15:26:55,29.9,47.0,FAILURE
15:26:56,29.9,47.0,FAILURE
15:26:59,29.9,47.0,FAILURE
15:27:00,29.9,47.0,FAILURE
15:27:03,29.9,47.0,FAILURE
15:27:04,29.9,47.0,FAILURE
15:27:07,29.9,47.0,FAILURE
15:27:08,29.9,47.0,FAILURE
15:27:11,29.9,47.0,FAILURE
15:27:12,29.9,47.0,FAILURE
15:27:15,29.9,47.0,FAILURE
15:27:16,29.9,47.0,FAILURE
15:27:19,29.9,47.0,FAILURE
15:27:20,29.9,47.0,FAILURE
15:27:23,29.9,47.0,FAILURE
15:27:24,29.9,47.0,FAILURE
15:27:27,29.9,47.0,FAILURE
15:27:28,29.9,47.0,FAILURE
15:27:31,29.9,47.0,FAILURE
15:27:32,29.9,47.0,FAILURE
15:27:35,29.9,47.0,FAILURE
15:27:36,29.9,47.0,FAILURE
15:27:39,29.9,47.0,FAILURE
15:27:40,29.9,47.0,FAILURE
15:27:43,29.9,47.0,FAILURE
15:27:44,29.9,47.0,FAILURE
15:27:47,29.9,47.0,FAILURE
15:27:48,29.9,47.0,FAILURE
15:27:51,29.9,47.0,FAILURE
15:27:52,29.9,47.0,FAILURE
15:27:55,29.9,47.0,FAILURE
15:27:56,29.9,47.0,FAILURE
15:27:59,29.9,47.0,FAILURE
15:28:00,29.9,47.0,FAILURE
15:28:03,29.9,47.0,FAILURE
15:28:05,29.9,47.0,FAILURE
15:28:08,29.9,47.0,FAILURE
15:28:09,29.9,47.0,FAILURE
15:28:12,29.9,47.0,FAILURE
15:28:13,29.9,47.0,FAILURE
15:28:16,29.9,47.0,FAILURE
15:28:17,29.9,48.0,FAILURE
15:28:20,29.9,48.0,FAILURE
15:28:21,29.9,48.0,FAILURE
15:28:24,29.9,48.0,FAILURE
15:28:25,29.9,48.0,FAILURE
15:28:28,29.9,48.0,FAILURE
15:28:29,29.9,48.0,FAILURE
15:28:32,29.9,48.0,FAILURE
15:28:33,29.9,48.0,FAILURE
15:28:36,29.9,48.0,FAILURE
15:28:37,29.9,48.0,FAILURE
15:28:40,29.9,48.0,FAILURE
15:28:41,29.9,48.0,FAILURE
15:28:44,29.9,47.0,FAILURE
15:28:45,29.9,47.0,FAILURE
15:28:48,29.9,47.0,FAILURE
15:28:49,29.9,48.0,FAILURE
15:28:52,29.9,48.0,FAILURE
15:28:53,29.9,48.0,FAILURE
15:28:56,29.9,48.0,FAILURE
15:28:57,29.9,48.0,FAILURE
15:29:00,29.9,48.0,FAILURE
15:29:01,29.9,48.0,FAILURE
15:29:04,29.9,48.0,FAILURE
15:29:05,30.0,48.0,FAILURE
15:29:08,30.0,48.0,FAILURE
15:29:09,30.0,48.0,FAILURE
15:29:12,30.0,48.0,FAILURE
15:29:13,30.0,48.0,FAILURE
15:29:16,30.0,48.0,FAILURE
15:29:17,30.0,48.0,FAILURE
15:29:20,30.0,48.0,FAILURE
15:29:22,30.0,48.0,FAILURE
15:29:25,30.0,48.0,FAILURE
15:29:26,30.0,48.0,FAILURE
15:29:29,30.0,48.0,FAILURE
15:29:30,30.0,48.0,FAILURE
15:29:33,30.0,48.0,FAILURE
15:29:34,30.0,48.0,FAILURE
15:29:37,30.0,48.0,FAILURE
15:29:38,30.0,48.0,FAILURE
15:29:41,30.0,48.0,FAILURE
15:29:42,30.0,48.0,FAILURE
15:29:45,30.0,48.0,FAILURE
15:29:46,30.0,48.0,FAILURE
15:29:49,30.0,48.0,FAILURE
15:29:50,30.0,48.0,FAILURE
15:29:53,30.0,48.0,FAILURE
15:29:54,30.0,48.0,FAILURE
15:29:57,30.0,48.0,FAILURE
15:29:58,30.0,48.0,FAILURE
15:30:01,30.0,48.0,FAILURE
15:30:02,30.0,48.0,FAILURE
15:30:05,30.0,48.0,FAILURE
15:30:06,30.0,48.0,FAILURE
15:30:09,30.0,48.0,FAILURE
15:30:10,30.0,48.0,FAILURE
15:30:13,30.0,48.0,FAILURE
15:30:14,30.0,48.0,FAILURE
15:30:17,30.0,48.0,FAILURE
15:30:18,30.0,48.0,FAILURE
15:30:21,30.0,48.0,FAILURE
15:30:22,30.0,48.0,FAILURE
15:30:25,30.0,48.0,FAILURE
15:30:26,30.0,48.0,FAILURE
15:30:29,30.0,48.0,FAILURE
15:30:30,30.0,48.0,FAILURE
15:30:33,30.0,48.0,FAILURE
15:30:34,30.0,48.0,FAILURE
15:30:38,30.0,48.0,FAILURE
15:30:39,30.0,48.0,FAILURE
15:30:42,30.0,48.0,FAILURE
15:30:43,30.0,48.0,FAILURE
15:30:46,30.0,48.0,FAILURE
15:30:47,30.0,48.0,FAILURE
15:30:50,30.0,48.0,FAILURE
15:30:51,30.0,48.0,FAILURE
15:30:54,30.0,48.0,FAILURE
15:30:55,30.0,48.0,FAILURE
15:30:58,30.0,48.0,FAILURE
15:30:59,30.0,48.0,FAILURE
15:31:02,30.0,48.0,FAILURE
15:31:03,30.0,48.0,FAILURE
